Id,Key,Created,Updated,Resolved,Expected,Priority,Description,Resolution,Status,Dsc,Dsu,Diff,Ttr,Needed,Categorized,Importance
44350,PLAN-938,2020-09-14,2021-02-04,,,Unknown,Allow user-defined configuration template in NQE,,OPEN,170,27,143,,,true,6
45038,PLAN-981,2020-10-15,2021-02-08,,,Minor,Verify -> NQE -> Active button has a delay when toggling for large network and check,,OPEN,139,23,116,,,true,6
45023,PLAN-977,2020-10-15,2021-01-25,2021-01-25,,Unknown,Add request count to collection report,Duplicate,Duplicate,139,37,102,102,,false,1
45227,PLAN-992,2020-10-26,2021-01-25,2021-01-25,,Unknown,Improve scheduling API and UI to provide more flexible scheduling,Duplicate,Duplicate,128,37,91,91,,true,4
45639,PLAN-1040,2020-11-20,2021-02-08,,,Major,add lldp/cdp data into nqe,,OPEN,103,23,80,,,true,7
45686,PLAN-1042,2020-11-24,2021-02-03,,,Unknown,Provide notification details as log endpoint that can be streamed off box with rsyslog,,DRAFT,99,28,71,,,false,2
45713,PLAN-1046,2020-11-25,2021-02-08,,,Critical,Check block of config in NQE ,,OPEN,98,23,75,,,true,5
45756,PLAN-1064,2020-12-01,2021-02-01,,,Unknown,Use name or id to identify NQE check,,OPEN,92,30,62,,,true,4
45944,PLAN-1073,2020-12-05,2021-02-21,,,Major,exported NQE csv should reflect the filters that are given by the user,,OPEN,88,10,78,,,true,5
45996,PLAN-1077,2020-12-08,2021-02-15,,,Unknown,Provide ability to get connectivity logs of specific devices,,Under Consideration,85,16,69,,,true,7
46007,PLAN-1078,2020-12-09,2021-02-08,,,Unknown,Modeling Support for NSX-T,,OPEN,84,23,61,,,true,8
46032,PLAN-1081,2020-12-10,2021-02-02,,,Major,summary of all NQE check results,,DRAFT,83,29,54,,,true,5
46045,PLAN-1083,2020-12-11,2021-02-21,,,Major,NQE // downloaded report should match the check name,,OPEN,82,10,72,,,true,5
46042,PLAN-1082,2020-12-11,2021-02-08,,,Minor,string split in nqe,,OPEN,82,23,59,,,true,7
46143,PLAN-1092,2020-12-15,2021-02-21,,,Minor,NQE // implement regex string match in,,OPEN,78,10,68,,,true,5
46116,PLAN-1086,2020-12-15,2021-01-26,,,Unknown,Publish API for collection performance statistics,,DRAFT,78,36,42,,,false,2
46115,PLAN-1085,2020-12-15,2021-01-26,,,Unknown,Cluster Availability+Utilization via API,,DRAFT,78,36,42,,,false,2
46158,PLAN-1098,2020-12-16,2021-02-08,,,Major,diff of config should clean up non-relevant data,,OPEN,77,23,54,,,true,5
46155,PLAN-1094,2020-12-16,2021-02-08,,,Minor,add ssh hot link to Forward GUI,,OPEN,77,23,54,,,true,10
46222,PLAN-1102,2020-12-18,2021-03-02,,,Major,exposing tmsh data into nqe,,OPEN,75,1,74,,,false,4
46221,PLAN-1101,2020-12-18,2021-02-08,2021-02-08,,Major,collect new commands for F5 TMSH,Duplicate,Duplicate,75,23,52,52,,false,4
46220,PLAN-1100,2020-12-18,2021-02-21,,,Major,NQE // add acl conf into f5 files ,,OPEN,75,10,65,,,true,5
46217,PLAN-1099,2020-12-18,2021-03-03,,2021-04-18,Major,NQE // add itm irules and itm configs into files.config,Fixed,DRAFT,75,0,75,,Close the PoC,true,5
46771,PLAN-1136,2021-01-25,2021-02-21,,,Unknown,allow user-defined priority in NQE checks,,OPEN,37,10,27,,Improvement for Post Production,true,6
46962,PLAN-1144,2021-02-01,2021-02-08,,,Minor,allow single-word operators in patternMatches and blockPatterns,,OPEN,30,23,7,,Improvement for Post Production,true,5
46960,PLAN-1143,2021-02-01,2021-02-22,,,Critical,display collection statistics during a collection,,Under Consideration,30,9,21,,Deploy in Production,true,7
47051,PLAN-1148,2021-02-03,2021-02-11,,,Unknown,Support for Aruba Controllers and APs,,Under Execution,28,20,8,,Improvement for Post Production,false,5
47472,PLAN-1170,2021-02-23,2021-02-23,,2022-04-11,Unknown,PLACE HOLDER - NQE support for Avi,,DRAFT,8,8,0,,Other - Specify in the Plan Details,false,4
47653,PLAN-1180,2021-03-03,2021-03-03,,2021-04-18,Unknown,Custom commands to NQE-verify CheckPoint devices,Fixed,OPEN,0,0,0,,Close the PoC,false,2
